seed,ifile_name,ifile_number,tpsExtermination,radiusInfestMax,SdM,SdC,SaM,SaC,deltaSa,deltaSd,actionManager,actionController,diffRisqueGlobal,infecteTotal,infecteVariete1,infecteVariete2
1321654462,random_rep,1.0,180.0,8.0,0.4,0.0,0.30000000000000004,0.0,0.05,0.1,true,false,0.5,0.3051,0.40675188462799083,0.295968534906588
-1179220480,random_rep,1.0,180.0,8.0,0.4,0.0,0.30000000000000004,0.0,0.1,0.0,true,false,0.5,0.2819,0.45689960979070593,0.35473572188719404
1240929527,random_rep,1.0,180.0,8.0,0.4,0.0,0.30000000000000004,0.0,0.1,0.05,true,false,0.5,0.1774,0.44419391206313413,0.37204058624577224
778744919,random_rep,1.0,180.0,8.0,0.4,0.0,0.30000000000000004,0.0,0.1,0.1,true,false,0.5,0.0,0.0,0.0
-2090699603,random_rep,1.0,180.0,8.0,0.4,0.0,0.4,0.0,0.0,0.0,true,false,0.5,0.2561,0.48887153455681376,0.26552128074970716
-1994152612,random_rep,1.0,180.0,8.0,0.4,0.0,0.4,0.0,0.0,0.05,true,false,0.5,0.2196,0.366120218579235,0.2686703096539162
-2069459304,random_rep,1.0,180.0,8.0,0.4,0.0,0.4,0.0,0.0,0.1,true,false,0.5,0.2447,0.3539027380465877,0.26930935839803843
-1578898313,random_rep,1.0,180.0,8.0,0.4,0.0,0.4,0.0,0.05,0.05,true,false,0.5,0.083,0.4759036144578313,0.2457831325301205
735750191,random_rep,2.0,30.0,8.0,0.4,0.0,0.1,0.0,0.05,0.0,true,false,0.5,0.0,0.0,0.0
-1715788463,random_rep,2.0,30.0,8.0,0.4,0.0,0.1,0.0,0.05,0.05,true,false,0.5,0.9595,0.332569046378322,0.5379885356956748
-1905298809,random_rep,2.0,30.0,8.0,0.4,0.0,0.1,0.0,0.1,0.05,true,false,0.5,0.8353,0.3666946007422483,0.48186280378307195
881426366,random_rep,2.0,30.0,8.0,0.4,0.0,0.1,0.0,0.1,0.1,true,false,0.5,0.7703,0.3767363364922757,0.45592626249513174
-1339258637,random_rep,2.0,30.0,8.0,0.4,0.0,0.2,0.0,0.0,0.0,true,false,0.5,0.9221,0.2859776596898384,0.6011278603188375
-1620143673,random_rep,2.0,30.0,8.0,0.4,0.0,0.2,0.0,0.0,0.05,true,false,0.5,0.833,0.38679471788715486,0.4495798319327731
