"","file","if1","if2","if3"
"v.104","random_rep_22.csv","1.0191144919056","0.969381107491857","0.932579116343067"
"v.105","random_rep_23.csv","1.07173334671954","1.01452208672772","1.01174345076784"
"v.106","random_rep_24.csv","1.01725438660534","1.07191281434675","0.983954382707864"
"v.107","random_rep_25.csv","1.01778554538912","1.06592404090844","0.919338076584859"
"v.108","random_rep_26.csv","1.02343845870659","0.997232809481543","1.01873656189209"
"v.109","random_rep_27.csv","0.949612888677307","0.988635784538552","1.0187543412827"
"v.110","random_rep_28.csv","1.0555629226893","0.973449173785014","0.954232648571209"
"v.111","random_rep_29.csv","0.89143886768297","1.01304325411146","1.04432333753926"
"v.112","random_rep_3.csv","0.944893987503841","1.0840108401084","1.06862622991655"
"v.113","random_rep_30.csv","1.04293285360043","0.961538461538462","0.983271277990456"
"v.114","random_rep_4.csv","0.987624065678226","0.98656062817738","0.926568758344459"
"v.115","random_rep_5.csv","0.979394856994157","1.03419001312032","1.08787293644102"
"v.116","random_rep_6.csv","1.01288466652162","0.998709677419355","0.983008746663848"
"v.117","random_rep_7.csv","1.01881460548821","0.9988620558857","0.983164627216745"
"v.118","random_rep_8.csv","1.04859071469058","0.966512057116491","1.01763197823471"
"v.119","random_rep_9.csv","0.985840622432707","1.00817715475646","0.909959144691463"
