seed,ifile_name,ifile_number,tpsExtermination,radiusInfestMax,SdM,SdC,SaM,SaC,deltaSa,deltaSd,actionManager,actionController,diffRisqueGlobal,infecteTotal,infecteVariete1,infecteVariete2
-441979623,polygon_gem1000_rep,5.0,30.0,8.0,0.4,0.1,0.2,0.2,0.1,0.0,true,true,0.5,0.7119,0.2157606405394016,0.6696165191740413
872766905,polygon_gem1000_rep,5.0,30.0,8.0,0.4,0.1,0.2,0.2,0.1,0.05,true,true,0.5,0.0621,0.4895330112721417,0.2560386473429952
2017266223,polygon_gem1000_rep,3.0,30.0,4.0,0.1,0.1,0.30000000000000004,0.2,0.05,0.0,true,true,0.5,0.0,0.0,0.0
270167342,polygon_gem1000_rep,5.0,30.0,8.0,0.4,0.1,0.2,0.2,0.1,0.1,true,true,0.5,0.0,0.0,0.0
-431949101,polygon_gem1000_rep,5.0,30.0,8.0,0.4,0.1,0.30000000000000004,0.2,0.0,0.05,true,true,0.5,0.7211,0.3020385522118985,0.5730134516710581
916350805,polygon_gem1000_rep,5.0,30.0,8.0,0.4,0.1,0.30000000000000004,0.2,0.0,0.1,true,true,0.5,0.724,0.3153314917127072,0.525
-98520861,polygon_gem1000_rep,5.0,30.0,8.0,0.4,0.1,0.30000000000000004,0.2,0.0,0.0,true,true,0.5,0.0,0.0,0.0
1394771860,polygon_gem1000_rep,5.0,30.0,8.0,0.4,0.1,0.30000000000000004,0.2,0.05,0.0,true,true,0.5,0.0,0.0,0.0
-866375287,polygon_gem1000_rep,5.0,30.0,8.0,0.4,0.1,0.30000000000000004,0.2,0.05,0.05,true,true,0.5,0.0,0.0,0.0
-836057319,polygon_gem1000_rep,5.0,30.0,8.0,0.4,0.1,0.30000000000000004,0.2,0.05,0.1,true,true,0.5,0.0,0.0,0.0
-2010596934,random_rep,1.0,180.0,4.0,0.1,0.1,0.4,0.2,0.05,0.1,true,true,0.5,0.0,0.0,0.0
