"BehaviorSpace results (NetLogo 6.0.2)"
"COMPOTE.nlogo"
"experiment-dynDesease"
"06/13/2018 17:02:07:712 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","i-nb_managers","i-Svar1","i-radiusInfestMax","i-alpha","i-betap","i-Svar2","i-rProd","i-file_number","i-file_name","i-tpsExtermination","i-Svar3","i-Iinit","[step]","pct_infected_tot","pct_var1","pct_var2"
"81","0","0.5","4","1","0.5","0.1","0.25","4","""polygon_gem10_rep""","30","0.9","0.005","450","0.4222","0.2078","0.058"
"71","0","0.5","16","1","0.5","0.1","0.25","2","""polygon_gem10_rep""","30","0.9","0.005","450","0.9997","0.511","0.2135"
"77","0","0.5","16","1","0.5","0.1","0.25","3","""polygon_gem10_rep""","30","0.9","0.005","450","1","0.5166","0.139"
"85","0","0.5","1","1","0.5","0.1","0.25","5","""polygon_gem10_rep""","30","0.9","0.005","450","1.0E-4","0","1.0E-4"
"82","0","0.5","8","1","0.5","0.1","0.25","4","""polygon_gem10_rep""","30","0.9","0.005","450","0.9692","0.4147","0.2022"
"86","0","0.5","2","1","0.5","0.1","0.25","5","""polygon_gem10_rep""","30","0.9","0.005","450","0.1747","0","0.0021"
"87","0","0.5","4","1","0.5","0.1","0.25","5","""polygon_gem10_rep""","30","0.9","0.005","450","0.4244","0.1287","0.0752"
"88","0","0.5","8","1","0.5","0.1","0.25","5","""polygon_gem10_rep""","30","0.9","0.005","450","0.9728","0.3703","0.2453"
"60","0","0.5","32","1","0.5","0.1","0.25","10","""random_rep""","30","0.9","0.005","450","1","0.3384","0.327"
"91","0","0.5","1","1","0.5","0.1","0.25","6","""polygon_gem10_rep""","30","0.9","0.005","450","1.0E-4","1.0E-4","0"
"92","0","0.5","2","1","0.5","0.1","0.25","6","""polygon_gem10_rep""","30","0.9","0.005","450","0.0645","0.056","0.0043"
"93","0","0.5","4","1","0.5","0.1","0.25","6","""polygon_gem10_rep""","30","0.9","0.005","450","0.5244","0.1184","0.0762"
"83","0","0.5","16","1","0.5","0.1","0.25","4","""polygon_gem10_rep""","30","0.9","0.005","450","1","0.4147","0.233"
"94","0","0.5","8","1","0.5","0.1","0.25","6","""polygon_gem10_rep""","30","0.9","0.005","450","0.9565","0.312","0.2345"
"89","0","0.5","16","1","0.5","0.1","0.25","5","""polygon_gem10_rep""","30","0.9","0.005","450","1","0.3703","0.2725"
"97","0","0.5","1","1","0.5","0.1","0.25","7","""polygon_gem10_rep""","30","0.9","0.005","450","1.0E-4","0","0"
"78","0","0.5","32","1","0.5","0.1","0.25","3","""polygon_gem10_rep""","30","0.9","0.005","450","1","0.5166","0.139"
"98","0","0.5","2","1","0.5","0.1","0.25","7","""polygon_gem10_rep""","30","0.9","0.005","450","0.1514","0","0.0049"
"99","0","0.5","4","1","0.5","0.1","0.25","7","""polygon_gem10_rep""","30","0.9","0.005","450","0.0999","0.0755","0.0244"
"72","0","0.5","32","1","0.5","0.1","0.25","2","""polygon_gem10_rep""","30","0.9","0.005","450","1","0.511","0.2138"
"100","0","0.5","8","1","0.5","0.1","0.25","7","""polygon_gem10_rep""","30","0.9","0.005","450","0.7976","0.2429","0.2518"
"103","0","0.5","1","1","0.5","0.1","0.25","8","""polygon_gem10_rep""","30","0.9","0.005","450","1.0E-4","0","1.0E-4"
"104","0","0.5","2","1","0.5","0.1","0.25","8","""polygon_gem10_rep""","30","0.9","0.005","450","0.1244","0.0603","0.006"
"105","0","0.5","4","1","0.5","0.1","0.25","8","""polygon_gem10_rep""","30","0.9","0.005","450","0.0099","0","0.0099"
"106","0","0.5","8","1","0.5","0.1","0.25","8","""polygon_gem10_rep""","30","0.9","0.005","450","0.9225","0.3758","0.2039"
"101","0","0.5","16","1","0.5","0.1","0.25","7","""polygon_gem10_rep""","30","0.9","0.005","450","1","0.3185","0.3786"
"95","0","0.5","16","1","0.5","0.1","0.25","6","""polygon_gem10_rep""","30","0.9","0.005","450","0.9999","0.312","0.2779"
"109","0","0.5","1","1","0.5","0.1","0.25","9","""polygon_gem10_rep""","30","0.9","0.005","450","1.0E-4","0","1.0E-4"
"110","0","0.5","2","1","0.5","0.1","0.25","9","""polygon_gem10_rep""","30","0.9","0.005","450","0.0629","0.058","0.0049"
"111","0","0.5","4","1","0.5","0.1","0.25","9","""polygon_gem10_rep""","30","0.9","0.005","450","0.0149","0.0069","0.008"
"112","0","0.5","8","1","0.5","0.1","0.25","9","""polygon_gem10_rep""","30","0.9","0.005","450","0.0193","0","0.0193"
"84","0","0.5","32","1","0.5","0.1","0.25","4","""polygon_gem10_rep""","30","0.9","0.005","450","1","0.4147","0.233"
"66","0","0.5","32","1","0.5","0.1","0.25","1","""polygon_gem10_rep""","30","0.9","0.005","450","0.9998","0.4375","0.186"
"115","0","0.5","1","1","0.5","0.1","0.25","10","""polygon_gem10_rep""","30","0.9","0.005","450","1.0E-4","0","0"
"116","0","0.5","2","1","0.5","0.1","0.25","10","""polygon_gem10_rep""","30","0.9","0.005","450","0.1094","0.0649","7.0E-4"
"117","0","0.5","4","1","0.5","0.1","0.25","10","""polygon_gem10_rep""","30","0.9","0.005","450","0.3835","0.2911","0.0109"
"90","0","0.5","32","1","0.5","0.1","0.25","5","""polygon_gem10_rep""","30","0.9","0.005","450","1","0.3703","0.2725"
"107","0","0.5","16","1","0.5","0.1","0.25","8","""polygon_gem10_rep""","30","0.9","0.005","450","0.9991","0.3758","0.2805"
"118","0","0.5","8","1","0.5","0.1","0.25","10","""polygon_gem10_rep""","30","0.9","0.005","450","0.8823","0.4384","0.1911"
"121","0","0.5","1","1","0.5","0.1","0.25","1","""polygon_gem100_rep""","30","0.9","0.005","450","1.0E-4","0","1.0E-4"
"122","0","0.5","2","1","0.5","0.1","0.25","1","""polygon_gem100_rep""","30","0.9","0.005","450","0.0316","0.0099","0.0069"
"96","0","0.5","32","1","0.5","0.1","0.25","6","""polygon_gem10_rep""","30","0.9","0.005","450","1","0.312","0.278"
"123","0","0.5","4","1","0.5","0.1","0.25","1","""polygon_gem100_rep""","30","0.9","0.005","450","0.2734","0.0879","0.0654"
"113","0","0.5","16","1","0.5","0.1","0.25","9","""polygon_gem10_rep""","30","0.9","0.005","450","0.9837","0.4405","0.3797"
"119","0","0.5","16","1","0.5","0.1","0.25","10","""polygon_gem10_rep""","30","0.9","0.005","450","0.9902","0.4384","0.299"
"127","0","0.5","1","1","0.5","0.1","0.25","2","""polygon_gem100_rep""","30","0.9","0.005","450","1.0E-4","0","1.0E-4"
"124","0","0.5","8","1","0.5","0.1","0.25","1","""polygon_gem100_rep""","30","0.9","0.005","450","0.9917","0.3457","0.3168"
"128","0","0.5","2","1","0.5","0.1","0.25","2","""polygon_gem100_rep""","30","0.9","0.005","450","0.0658","0.0016","0.0073"
"102","0","0.5","32","1","0.5","0.1","0.25","7","""polygon_gem10_rep""","30","0.9","0.005","450","1","0.3185","0.3786"
"129","0","0.5","4","1","0.5","0.1","0.25","2","""polygon_gem100_rep""","30","0.9","0.005","450","0.1969","0.0843","0.0396"
"130","0","0.5","8","1","0.5","0.1","0.25","2","""polygon_gem100_rep""","30","0.9","0.005","450","0.9619","0.3441","0.2938"
"133","0","0.5","1","1","0.5","0.1","0.25","3","""polygon_gem100_rep""","30","0.9","0.005","450","1.0E-4","0","1.0E-4"
"108","0","0.5","32","1","0.5","0.1","0.25","8","""polygon_gem10_rep""","30","0.9","0.005","450","1","0.3758","0.2814"
"134","0","0.5","2","1","0.5","0.1","0.25","3","""polygon_gem100_rep""","30","0.9","0.005","450","0.0783","0.0129","0.0094"
"135","0","0.5","4","1","0.5","0.1","0.25","3","""polygon_gem100_rep""","30","0.9","0.005","450","0.3531","0.1307","0.0633"
"136","0","0.5","8","1","0.5","0.1","0.25","3","""polygon_gem100_rep""","30","0.9","0.005","450","0.3307","0.0928","0.0684"
"125","0","0.5","16","1","0.5","0.1","0.25","1","""polygon_gem100_rep""","30","0.9","0.005","450","0.9999","0.3457","0.325"
"131","0","0.5","16","1","0.5","0.1","0.25","2","""polygon_gem100_rep""","30","0.9","0.005","450","1","0.3441","0.3319"
"137","0","0.5","16","1","0.5","0.1","0.25","3","""polygon_gem100_rep""","30","0.9","0.005","450","0.9997","0.2975","0.3326"
"139","0","0.5","1","1","0.5","0.1","0.25","4","""polygon_gem100_rep""","30","0.9","0.005","450","1.0E-4","0","0"
"140","0","0.5","2","1","0.5","0.1","0.25","4","""polygon_gem100_rep""","30","0.9","0.005","450","0.0027","0","0.0027"
"141","0","0.5","4","1","0.5","0.1","0.25","4","""polygon_gem100_rep""","30","0.9","0.005","450","0.4064","0.1612","0.0958"
"114","0","0.5","32","1","0.5","0.1","0.25","9","""polygon_gem10_rep""","30","0.9","0.005","450","0.9926","0.4405","0.3886"
"142","0","0.5","8","1","0.5","0.1","0.25","4","""polygon_gem100_rep""","30","0.9","0.005","450","0.9373","0.3687","0.2654"
"145","0","0.5","1","1","0.5","0.1","0.25","5","""polygon_gem100_rep""","30","0.9","0.005","450","1.0E-4","1.0E-4","0"
"146","0","0.5","2","1","0.5","0.1","0.25","5","""polygon_gem100_rep""","30","0.9","0.005","450","0.0073","0.0036","0.0037"
"147","0","0.5","4","1","0.5","0.1","0.25","5","""polygon_gem100_rep""","30","0.9","0.005","450","0.4219","0.1484","0.0662"
"148","0","0.5","8","1","0.5","0.1","0.25","5","""polygon_gem100_rep""","30","0.9","0.005","450","0.9865","0.3426","0.2915"
"120","0","0.5","32","1","0.5","0.1","0.25","10","""polygon_gem10_rep""","30","0.9","0.005","450","1","0.4384","0.3088"
"151","0","0.5","1","1","0.5","0.1","0.25","6","""polygon_gem100_rep""","30","0.9","0.005","450","1.0E-4","0","1.0E-4"
"143","0","0.5","16","1","0.5","0.1","0.25","4","""polygon_gem100_rep""","30","0.9","0.005","450","1","0.3707","0.3146"
"152","0","0.5","2","1","0.5","0.1","0.25","6","""polygon_gem100_rep""","30","0.9","0.005","450","0.0027","0","0.0027"
"153","0","0.5","4","1","0.5","0.1","0.25","6","""polygon_gem100_rep""","30","0.9","0.005","450","0.2269","0.0907","0.0596"
"154","0","0.5","8","1","0.5","0.1","0.25","6","""polygon_gem100_rep""","30","0.9","0.005","450","0.5001","0.1622","0.1613"
"149","0","0.5","16","1","0.5","0.1","0.25","5","""polygon_gem100_rep""","30","0.9","0.005","450","1","0.3426","0.305"
"157","0","0.5","1","1","0.5","0.1","0.25","7","""polygon_gem100_rep""","30","0.9","0.005","450","1.0E-4","0","0"
"158","0","0.5","2","1","0.5","0.1","0.25","7","""polygon_gem100_rep""","30","0.9","0.005","450","0.0482","0.0011","0.0076"
"159","0","0.5","4","1","0.5","0.1","0.25","7","""polygon_gem100_rep""","30","0.9","0.005","450","0.307","0.0888","0.0763"
"132","0","0.5","32","1","0.5","0.1","0.25","2","""polygon_gem100_rep""","30","0.9","0.005","450","1","0.3441","0.3319"
"160","0","0.5","8","1","0.5","0.1","0.25","7","""polygon_gem100_rep""","30","0.9","0.005","450","0.9888","0.3132","0.3414"
"155","0","0.5","16","1","0.5","0.1","0.25","6","""polygon_gem100_rep""","30","0.9","0.005","450","1","0.3195","0.3459"
